list-none-none,1,10,1,30,108853,3628
list-none-none,1,100,1,300,107525,358
list-none-none,1,1000,1,3000,3856346,1285
list-none-none,1,10000,1,30000,547954487,18265
list-none-none,1,20000,1,60000,2732508825,45541
list-none-none,2,10,1,60,92136,1535
list-none-none,2,1000,1,6000,11719328,1953
list-none-none,4,10,1,120,112297,935
list-none-none,4,100,1,1200,314740,262
list-i-none,2,2,1,12,123280,10273
list-i-none,2,8,1,48,131668,2743
list-i-none,2,16,1,96,109184,1137
list-i-none,2,32,1,192,116933,609
list-i-none,4,2,1,24,135311,5637
list-i-none,4,16,1,192,492227,2563
list-i-none,8,8,1,192,596401,3106
list-i-none,12,2,1,72,1695460,23548
list-i-none,12,4,1,144,517599,3594
list-i-none,12,8,1,288,217401,754
list-d-none,2,2,1,12,43636,3636
list-d-none,2,4,1,24,41012,1708
list-d-none,2,32,1,192,82685,430
list-d-none,4,2,1,24,158352,6598
list-d-none,4,4,1,48,412825,8600
list-d-none,4,8,1,96,192637,2006
list-d-none,8,4,1,96,505625,5266
list-d-none,8,8,1,192,529835,2759
list-d-none,8,16,1,384,522335,1360
list-d-none,12,2,1,72,610378,8477
list-d-none,12,4,1,144,592047,4111
list-d-none,12,8,1,288,541466,1880
list-il-none,2,8,1,48,123502,2572
list-il-none,2,16,1,96,117517,1224
list-il-none,4,4,1,48,135772,2828
list-il-none,4,8,1,96,113632,1183
list-il-none,8,2,1,48,245779,5120
list-il-none,12,4,1,144,629874,4374
list-dl-none,2,16,1,96,98350,1024
list-dl-none,4,8,1,96,171243,1783
list-dl-none,4,16,1,192,221464,1153
list-dl-none,8,2,1,48,349029,7271
list-dl-none,8,4,1,96,1148289,11961
list-dl-none,8,8,1,192,575772,2998
list-i-m,12,32,1,1152,1494949,1297
list-d-m,12,32,1,1152,1388837,1205
list-il-m,12,32,1,1152,6118741,5311
list-dl-m,12,32,1,1152,5882803,5106
list-i-s,12,32,1,1152,1244047,1079
list-d-s,12,32,1,1152,1226946,1065
list-il-s,12,32,1,1152,162807638,141326
list-dl-s,12,32,1,1152,46541542,40400
list-none-none,1,1000,1,3000,3834271,1278
list-none-m,1,1000,1,3000,3918582,1306
list-none-m,2,1000,1,6000,21968457,3661
list-none-m,4,1000,1,12000,80407411,6700
list-none-m,8,1000,1,24000,262267204,10927
list-none-m,12,1000,1,36000,773378363,21482
list-none-m,16,1000,1,48000,1381820399,28787
list-none-m,24,1000,1,72000,3290686018,45703
list-none-s,1,1000,1,3000,3353975,1117
list-none-s,2,1000,1,6000,10838593,1806
list-none-s,4,1000,1,12000,132989301,11082
list-none-s,8,1000,1,24000,1804594104,75191
list-none-s,12,1000,1,36000,4870924417,135303
list-none-none,1,10,1,30,67276,2242
list-none-none,1,100,1,300,100033,333
list-none-none,1,1000,1,3000,3848364,1282
list-none-none,1,10000,1,30000,546751814,18225
list-none-none,1,20000,1,60000,2764350800,46072
list-none-none,2,10,1,60,88358,1472
list-none-none,2,100,1,600,179771,299
list-none-none,2,1000,1,6000,6140158,1023
list-none-none,4,10,1,120,99348,827
list-i-none,2,2,1,12,151233,12602
list-i-none,2,4,1,24,85839,3576
list-i-none,2,8,1,48,112915,2352
list-i-none,12,2,1,72,567235,7878
list-i-none,12,4,1,144,1666149,11570
list-d-none,2,2,1,12,76376,6364
list-d-none,2,4,1,24,166220,6925
list-d-none,2,8,1,48,180365,3757
list-d-none,4,2,1,24,525193,21883
list-d-none,4,4,1,48,163952,3415
list-d-none,4,8,1,96,141107,1469
list-d-none,4,16,1,192,154735,805
list-d-none,8,2,1,48,524208,10921
list-d-none,12,2,1,72,577022,8014
