add-c,12,10000,240000,41972340,4197,0
add-yield-c,0,1,0,36038,36038,0
add-yield-c,0,1,0,33700,33700,0
add-yield-c,0,1,0,36463,36463,0
add-yield-c,0,1,0,36413,36413,0
add-none,1,100,200,206072,2060,0
add-none,1,1000,2000,203191,203,0
add-none,1,10000,20000,365225,36,0
add-none,1,100000,200000,3590674,35,0
add-none,2,100,400,153338,1533,0
add-none,2,1000,4000,165305,165,-854
add-none,2,10000,40000,530454,53,1558
add-none,2,100000,400000,3648600,36,-10416
add-none,4,100,800,99476,994,0
add-none,4,1000,8000,183366,183,782
add-none,4,10000,80000,1476685,147,800
add-none,4,100000,800000,11456960,114,-8674
add-none,8,100,1600,480427,4804,0
add-none,8,1000,16000,259629,259,140
add-none,8,10000,160000,1859812,185,-8743
add-none,8,100000,1600000,24133162,241,-13873
add-none,12,100,2400,422568,4225,0
add-none,12,1000,24000,416728,416,577
add-none,12,10000,240000,2496508,249,453
add-none,12,100000,2400000,37206029,372,-128803
add-yield-none,1,100,200,162979,1629,0
add-yield-none,1,1000,2000,496283,496,0
add-yield-none,1,10000,20000,3783618,378,0
add-yield-none,1,100000,200000,34007693,340,0
add-yield-none,2,100,400,131027,1310,27
add-yield-none,2,1000,4000,540264,540,-52
add-yield-none,2,10000,40000,4172699,417,115
add-yield-none,2,100000,400000,35013165,350,-65
add-yield-none,4,100,800,129649,1296,86
add-yield-none,4,1000,8000,558914,558,81
add-yield-none,4,10000,80000,5654895,565,-6549
add-yield-none,4,100000,800000,36915561,369,-262
add-yield-none,8,100,1600,335466,3354,158
add-yield-none,8,1000,16000,1994325,1994,-180
add-yield-none,8,10000,160000,13947678,1394,-517
add-yield-none,8,100000,1600000,68630546,686,737
add-yield-none,12,100,2400,478086,4780,246
add-yield-none,12,1000,24000,3413372,3413,-822
add-yield-none,12,10000,240000,14199620,1419,-11813
add-yield-none,12,100000,2400000,132699617,1326,-106711
add-m,1,10000,20000,727135,72,0
add-m,2,10000,40000,3810386,381,0
add-m,4,10000,80000,10686733,1068,0
add-m,8,10000,160000,25260130,2526,0
add-m,12,10000,240000,38069406,3806,0
add-yield-m,2,10000,40000,14034989,1403,0
add-yield-m,4,10000,80000,27180640,2718,0
add-yield-m,8,10000,160000,86593238,8659,0
add-yield-m,12,10000,240000,160792097,16079,0
add-s,1,10000,20000,353491,35,0
add-s,2,10000,40000,2548456,254,0
add-s,4,10000,80000,16699221,1669,0
add-s,8,10000,160000,31187073,3118,0
add-s,12,10000,240000,49954931,4995,0
add-yield-s,2,1000,4000,1385305,1385,0
add-yield-s,4,1000,8000,3080242,3080,0
add-yield-s,8,1000,16000,12433757,12433,0
add-yield-s,12,1000,24000,411712597,411712,0
add-c,1,10000,20000,573684,57,0
add-c,2,10000,40000,3596760,359,0
add-c,4,10000,80000,6817280,681,0
add-c,8,10000,160000,29257667,2925,0
add-c,12,10000,240000,42951447,4295,0
add-yield-c,0,1,0,36749,36749,0
add-yield-c,0,1,0,36886,36886,0
add-yield-c,0,1,0,51049,51049,0
add-yield-c,0,1,0,36048,36048,0
add-none,1,100,200,131405,1314,0
add-none,1,1000,2000,136997,136,0
add-none,1,10000,20000,611200,61,0
add-none,1,100000,200000,3602055,36,0
add-none,2,100,400,107655,1076,0
add-none,2,1000,4000,123885,123,0
add-none,2,10000,40000,403439,40,0
add-none,2,100000,400000,6561768,65,7799
add-none,4,100,800,90648,906,0
add-none,4,1000,8000,125230,125,0
add-none,4,10000,80000,465658,46,0
add-none,4,100000,800000,9465084,94,-144038
add-none,8,100,1600,580273,5802,0
add-none,8,1000,16000,339596,339,-276
add-none,8,10000,160000,1123177,112,0
add-none,8,100000,1600000,20940504,209,-108592
add-none,12,100,2400,473148,4731,-23
add-none,12,1000,24000,504593,504,-1809
add-none,12,10000,240000,3557479,355,-16517
add-none,12,100000,2400000,33904812,339,-66893
add-yield-none,1,100,200,150566,1505,0
add-yield-none,1,1000,2000,504538,504,0
add-yield-none,1,10000,20000,3770069,377,0
add-yield-none,1,100000,200000,33632434,336,0
add-yield-none,2,100,400,145666,1456,46
add-yield-none,2,1000,4000,557758,557,29
add-yield-none,2,10000,40000,4008911,400,23
add-yield-none,2,100000,400000,33614089,336,-40
add-yield-none,4,100,800,136055,1360,99
add-yield-none,4,1000,8000,838520,838,-607
add-yield-none,4,10000,80000,4078976,407,60
add-yield-none,4,100000,800000,38915917,389,-8691
add-yield-none,8,100,1600,370293,3702,92
add-yield-none,8,1000,16000,2682818,2682,195
add-yield-none,8,10000,160000,16312490,1631,-1273
add-yield-none,8,100000,1600000,71125600,711,-84467
add-yield-none,12,100,2400,358923,3589,96
add-yield-none,12,1000,24000,3960850,3960,216
add-yield-none,12,10000,240000,26815456,2681,-1250
add-yield-none,12,100000,2400000,117488532,1174,-35710
add-m,1,10000,20000,715374,71,0
add-m,2,10000,40000,4978235,497,0
add-m,4,10000,80000,10964778,1096,0
add-m,8,10000,160000,25723788,2572,0
add-m,12,10000,240000,38148625,3814,0
add-yield-m,2,10000,40000,13661207,1366,0
add-yield-m,4,10000,80000,27254330,2725,0
add-yield-m,8,10000,160000,86213198,8621,0
add-yield-m,12,10000,240000,161455246,16145,0
add-s,1,10000,20000,335755,33,0
add-s,2,10000,40000,2730432,273,0
add-s,4,10000,80000,9376901,937,0
add-s,8,10000,160000,30872211,3087,0
add-s,12,10000,240000,42635655,4263,0
add-yield-s,2,1000,4000,1368307,1368,0
add-yield-s,4,1000,8000,9810474,9810,0
add-yield-s,8,1000,16000,9533332,9533,0
add-yield-s,12,1000,24000,51786468,51786,0
add-c,1,10000,20000,521551,52,0
add-c,2,10000,40000,3167021,316,0
add-c,4,10000,80000,12382429,1238,0
add-c,8,10000,160000,28007093,2800,0
add-c,12,10000,240000,42767694,4276,0
add-yield-c,0,1,0,36714,36714,0
add-yield-c,0,1,0,36494,36494,0
add-yield-c,0,1,0,36024,36024,0
add-yield-c,0,1,0,36658,36658,0
add-none,1,100,200,240951,2409,0
add-none,1,1000,2000,318863,318,0
add-none,1,10000,20000,561243,56,0
add-none,1,100000,200000,2321472,23,0
add-none,2,100,400,172305,1723,0
add-none,2,1000,4000,187584,187,0
add-none,2,10000,40000,859893,85,11
add-none,2,100000,400000,6196864,61,32
add-none,4,100,800,130199,1301,0
add-none,4,1000,8000,159820,159,632
add-none,4,10000,80000,976392,97,4234
add-none,4,100000,800000,9111184,91,-110528
add-none,8,100,1600,368851,3688,0
add-none,8,1000,16000,241367,241,1407
add-none,8,10000,160000,1701003,170,9658
add-none,8,100000,1600000,22253336,222,-73831
add-none,12,100,2400,404355,4043,0
add-none,12,1000,24000,467581,467,2552
add-none,12,10000,240000,3430137,343,37382
add-none,12,100000,2400000,33820677,338,-214155
add-yield-none,1,100,200,165987,1659,0
add-yield-none,1,1000,2000,510979,510,0
add-yield-none,1,10000,20000,3867405,386,0
add-yield-none,1,100000,200000,34401949,344,0
add-yield-none,2,100,400,148978,1489,30
add-yield-none,2,1000,4000,561591,561,31
add-yield-none,2,10000,40000,4287394,428,35
add-yield-none,2,100000,400000,37711108,377,-20
add-yield-none,4,100,800,132386,1323,62
add-yield-none,4,1000,8000,490386,490,24
add-yield-none,4,10000,80000,5828269,582,-6092
add-yield-none,4,100000,800000,46570775,465,-54174
add-yield-none,8,100,1600,326653,3266,140
add-yield-none,8,1000,16000,2088063,2088,-1084
add-yield-none,8,10000,160000,14289574,1428,-264
add-yield-none,8,100000,1600000,57304279,573,-276
add-yield-none,12,100,2400,380218,3802,333
add-yield-none,12,1000,24000,3346955,3346,40
add-yield-none,12,10000,240000,23975602,2397,1757
add-yield-none,12,100000,2400000,119161969,1191,-106164
add-m,1,10000,20000,711199,71,0
add-m,2,10000,40000,4870368,487,0
add-m,4,10000,80000,10578035,1057,0
add-m,8,10000,160000,25389963,2538,0
add-m,12,10000,240000,38267310,3826,0
add-yield-m,2,10000,40000,13827477,1382,0
add-yield-m,4,10000,80000,31456085,3145,0
add-yield-m,8,10000,160000,88659543,8865,0
add-yield-m,12,10000,240000,160866097,16086,0
add-s,1,10000,20000,403756,40,0
add-s,2,10000,40000,3129524,312,0
